Function	Run	Duration(ns)
cos	19	43583
cos	20	43625
cos	21	43667
cos	22	43625
cos	23	43584
cos	24	43584
cos	25	43625
cos	26	43542
cos	27	43709
cos	28	43584
cos	29	43584
cos	30	43584
cos	31	46292
cos	32	43583
cos	33	43583
cos	34	43625
cos	35	43667
cos	36	43541
cos	37	43583
cos	38	43625
cos	39	43625
cos	40	43625
cos	41	43583
cos	42	43583
cos	43	43583
cos	44	43583
cos	45	43667
cos	46	41834
cos	47	40459
cos	48	40334
cos	49	40375
cos	50	40417
cos	51	40417
cos	52	40417
cos	53	40375
cos	54	40500
cos	55	40542
cos	56	40375
cos	57	40458
cos	58	40458
cos	59	40459
cos	60	40375
cos	61	40458
cos	62	40458
cos	63	40541
cos	64	40375
cos	65	44917
cos	66	46541
cos	67	49583
cos	68	40417
cos	69	40417
cos	70	40416
cos	71	40333
cos	72	40375
cos	73	40416
cos	74	40333
cos	75	40458
cos	76	40458
cos	77	40542
cos	78	40375
cos	79	40334
cos	80	40417
cos	81	40458
cos	82	40459
cos	83	40375
cos	84	40417
cos	85	40375
cos	86	40417
cos	87	40416
cos	88	40417
cos	89	40375
cos	90	40375
cos	91	40416
cos	92	40417
cos	93	40500
cos	94	40333
cos	95	40417
cos	96	40375
cos	97	40458
cos	98	40542
cos	99	40375
cos	100	40417
binStr	1	240000
binStr	2	244958
binStr	3	237875
binStr	4	238500
binStr	5	245709
binStr	6	241125
binStr	7	238542
binStr	8	227167
binStr	9	215958
binStr	10	213666
binStr	11	212458
binStr	12	214667
binStr	13	216209
binStr	14	213875
binStr	15	214500
binStr	16	229083
binStr	17	217667
binStr	18	213709
binStr	19	232041
binStr	20	224459
binStr	21	220167
binStr	22	375000
binStr	23	295125
binStr	24	225667
binStr	25	318125
binStr	26	346208
binStr	27	334667
binStr	28	215500
binStr	29	205917
binStr	30	202291
binStr	31	204250
binStr	32	202709
binStr	33	202292
binStr	34	202458
binStr	35	202416
binStr	36	202625
binStr	37	202250
binStr	38	205542
binStr	39	202750
binStr	40	202167
binStr	41	202333
binStr	42	200583
binStr	43	192417
binStr	44	193625
binStr	45	192625
binStr	46	194000
binStr	47	285333
binStr	48	190000
binStr	49	191042
binStr	50	188500
binStr	51	188459
binStr	52	189042
binStr	53	194541
binStr	54	189750
binStr	55	189041
binStr	56	189375
binStr	57	188584
binStr	58	188375
binStr	59	207417
binStr	60	189334
binStr	61	201084
binStr	62	180959
binStr	63	173917
binStr	64	174208
binStr	65	173958
binStr	66	174083
binStr	67	174042
binStr	68	175417
binStr	69	176458
binStr	70	174458
binStr	71	267666
binStr	72	167375
binStr	73	178667
binStr	74	178209
binStr	75	178542
binStr	76	178042
binStr	77	178125
binStr	78	178458
binStr	79	179875
binStr	80	180083
binStr	81	178416
binStr	82	178708
binStr	83	178125
binStr	84	180250
binStr	85	179958
binStr	86	173666
binStr	87	173625
binStr	88	174083
binStr	89	173708
binStr	90	173958
binStr	91	177458
binStr	92	168584
binStr	93	165875
binStr	94	171250
binStr	95	226958
binStr	96	177750
binStr	97	194666
binStr	98	178542
binStr	99	191958
binStr	100	178791
loop	1	12599500
loop	2	15454209
loop	3	13926917
loop	4	13062584
loop	5	12366125
loop	6	11628875
loop	7	11430708
loop	8	11400833
loop	9	11204958
loop	10	11201333
loop	11	11197583
loop	12	11202000
loop	13	11204333
loop	14	11225500
loop	15	11194208
loop	16	11201875
loop	17	11220625
loop	18	11207708
loop	19	11229083
loop	20	11169875
loop	21	11515000
loop	22	11215834
loop	23	11208750
loop	24	11209541
loop	25	11181959
loop	26	11265625
loop	27	11181542
loop	28	11252417
loop	29	11216833
loop	30	11181250
loop	31	11198333
loop	32	11229833
loop	33	11225292
loop	34	11204209
loop	35	11227292
loop	36	11230958
loop	37	11178083
loop	38	11202542
loop	39	11238292
loop	40	11184666
loop	41	11214500
loop	42	11206708
loop	43	11194292
loop	44	11200916
loop	45	11393333
loop	46	11305500
loop	47	11319084
loop	48	11320666
loop	49	11254458
loop	50	11251834
loop	51	11276917
loop	52	11200792
loop	53	11256667
loop	54	11241958
loop	55	11215584
loop	56	11184000
loop	57	11185167
loop	58	11275667
loop	59	11177583
loop	60	11230792
loop	61	11273417
loop	62	11182750
loop	63	11179958
loop	64	11220500
loop	65	11204708
loop	66	11220167
loop	67	11209083
loop	68	11200666
loop	69	11202292
loop	70	11268250
loop	71	11203417
loop	72	11231083
loop	73	11239667
loop	74	11191125
loop	75	11185709
loop	76	11224542
loop	77	11182166
loop	78	11198584
loop	79	11245375
loop	80	11180917
loop	81	11204708
loop	82	11204583
loop	83	11192208
loop	84	11189750
loop	85	11204334
loop	86	11243541
loop	87	11208833
loop	88	11182583
loop	89	11244458
loop	90	11185542
loop	91	11189708
loop	92	11450209
loop	93	11372000
loop	94	11542417
loop	95	11276292
loop	96	11290583
loop	97	11219333
loop	98	11229083
loop	99	11225917
loop	100	11248000
