Function	Run	Duration(ns)
cos	36	3096042
cos	37	3077416
cos	38	3026875
cos	39	3126000
cos	40	3092000
cos	41	3092416
cos	42	3104792
cos	43	3099625
cos	44	3096209
cos	45	3105375
cos	46	3106208
cos	47	3106416
cos	48	3099875
cos	49	3092583
cos	50	3099292
cos	51	3096167
cos	52	3092625
cos	53	3096000
cos	54	3111209
cos	55	3092916
cos	56	3115542
cos	57	3092709
cos	58	3096041
cos	59	3098458
cos	60	3093792
cos	61	3102916
cos	62	3098583
cos	63	3104333
cos	64	3092709
cos	65	3096292
cos	66	3105166
cos	67	3104542
cos	68	3109667
cos	69	3096458
cos	70	3101583
cos	71	3096166
cos	72	3098750
cos	73	3097041
cos	74	3100125
cos	75	3099458
cos	76	3092625
cos	77	3106208
cos	78	3092791
cos	79	3142250
cos	80	3023542
cos	81	3079041
cos	82	3095500
cos	83	3103709
cos	84	3092500
cos	85	3107709
cos	86	3097459
cos	87	3096083
cos	88	3096625
cos	89	3103083
cos	90	3092750
cos	91	3096042
cos	92	3098708
cos	93	3102958
cos	94	3092416
cos	95	3108208
cos	96	3092458
cos	97	3113625
cos	98	3134083
cos	99	3131250
cos	100	3129542
sin	1	3961125
sin	2	3734917
sin	3	3609709
sin	4	3673584
sin	5	3646709
sin	6	3671333
sin	7	3659875
sin	8	3670209
sin	9	3673917
sin	10	3675250
sin	11	3663542
sin	12	3647917
sin	13	3615417
sin	14	3675542
sin	15	3127334
sin	16	3094750
sin	17	3096334
sin	18	3109959
sin	19	3096334
sin	20	3092750
sin	21	3115625
sin	22	3092958
sin	23	3100250
sin	24	3116833
sin	25	3096292
sin	26	3092750
sin	27	3096292
sin	28	3095250
sin	29	3102125
sin	30	3092667
sin	31	3098666
sin	32	3099250
sin	33	3102083
sin	34	3095625
sin	35	3096750
sin	36	3093083
sin	37	3103000
sin	38	3104500
sin	39	3096417
sin	40	3096250
sin	41	3093084
sin	42	3096750
sin	43	3096750
sin	44	3097125
sin	45	3108083
sin	46	3027875
sin	47	3074125
sin	48	3100208
sin	49	3099334
sin	50	3099250
sin	51	3100292
sin	52	3093084
sin	53	3105500
sin	54	3093125
sin	55	3100250
sin	56	3102125
sin	57	3097625
sin	58	3103083
sin	59	3096209
sin	60	3100250
sin	61	3149209
sin	62	3096250
sin	63	3093042
sin	64	3096541
sin	65	3102042
sin	66	3096625
sin	67	3123084
sin	68	3355125
sin	69	3349500
sin	70	3346875
sin	71	3343000
sin	72	3340250
sin	73	3347917
sin	74	3343833
sin	75	3340292
sin	76	3360792
sin	77	3340334
sin	78	3343584
sin	79	3349292
sin	80	3344708
sin	81	3343875
sin	82	3466042
sin	83	3577916
sin	84	3625709
sin	85	3631667
sin	86	3649541
sin	87	3653750
sin	88	3656916
sin	89	3667208
sin	90	3649375
sin	91	3693583
sin	92	3648875
sin	93	3653041
sin	94	3653708
sin	95	3652875
sin	96	3671209
sin	97	3661042
sin	98	3652875
sin	99	3663292
sin	100	3649333
